Problem,Difficulty,Chingis,URL,Updated
Search Insert Position,Easy,Yes,https://leetcode.com/problems/search-insert-position/,"Jan 2, 2021"
Remove Element,Easy,Yes,https://leetcode.com/problems/remove-element/,"Jan 3, 2021"
Valid Parentheses,Easy,Yes,https://leetcode.com/problems/valid-parentheses/,"Jan 4, 2021"
Climbing Stairs,Easy,Yes,https://leetcode.com/problems/climbing-stairs/,"Jan 5, 2021"
Longest Common Prefix,Easy,Yes,https://leetcode.com/problems/longest-common-prefix/,"Jan 6, 2021"
Same Tree,Easy,Yes,https://leetcode.com/problems/same-tree/,"Jan 7, 2021"
Symmetric Tree,Easy,Yes,https://leetcode.com/problems/symmetric-tree/,"Jan 8, 2021"
Maximum Depth of Binary Tree,Easy,Yes,https://leetcode.com/problems/maximum-depth-of-binary-tree/,"Jan 9, 2021"
Balanced Binary Tree,Easy,Yes,https://leetcode.com/problems/balanced-binary-tree/submissions/,"Jan 10, 2021"
Battleships in a Board,Medium,Yes,https://leetcode.com/problems/battleships-in-a-board/,"Jan 11, 2021"
Count Good Nodes in Binary Tree,Medium,Yes,https://leetcode.com/problems/count-good-nodes-in-binary-tree/,"Jan 12, 2021"
Robot Return to Origin,Easy,Yes,https://leetcode.com/problems/robot-return-to-origin/,"Jan 13, 2021"
442. Find All Duplicates in an Array,Medium,Yes,https://leetcode.com/problems/find-all-duplicates-in-an-array/,"Jan 13, 2021"
3Sum,Medium,Yes,https://leetcode.com/problems/3sum/,"Jan 14, 2021"
Minimum Time Visiting All Points,Easy,Yes,https://leetcode.com/problems/minimum-time-visiting-all-points/,"Jan 15, 2021"
Coin Change,Medium,Yes,https://leetcode.com/problems/coin-change/,"Jan 16, 2021"
Bulls and Cows,Medium,Yes,https://leetcode.com/problems/bulls-and-cows/,"Jan 17, 2021"
Even Odd Tree,Medium,Yes,https://leetcode.com/problems/even-odd-tree/,"Jan 18, 2021"
Insert into a Binary Search Tree,Medium,Yes,https://leetcode.com/problems/insert-into-a-binary-search-tree/,"Jan 19, 2021"
All Nodes Distance K in Binary Tree,Medium,Yes,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree/,"Jan 20, 2021"
Game of Life,Medium,Yes,https://leetcode.com/problems/game-of-life/,"Jan 21, 2021"
Linked List Components,Medium,Yes,https://leetcode.com/problems/linked-list-components/,"Jan 22, 2021"
Minimum Path Sum,Medium,Yes,https://leetcode.com/problems/minimum-path-sum/,"Jan 23, 2021"
Odd Even Linked List,Medium,Yes,https://leetcode.com/problems/odd-even-linked-list/,"Jan 24, 2021"
K Closest Points to Origin,Medium,Yes,https://leetcode.com/problems/k-closest-points-to-origin/,"Jan 25, 2021"
Remove K Digits,Medium,Yes,https://leetcode.com/problems/remove-k-digits/,"Jan 26, 2021"
Simplify Path,Medium,Yes,https://leetcode.com/problems/simplify-path/,"Jan 27, 2021"
